KEY,zh,en,ja,fr,de,it,es,ko
Language,Chinese,English,Japanese,French,German,Italian,Spanish,Korean
ConfigFileNotFound,配置文件不存在,Missing configuration file,設定ファイル見つかりませんでした,Missing configuration file,Missing configuration file,Missing configuration file,구성 파일이 존재하지 않습니다.,
Pixel_Info_HD,"高清","High-res","高画質","Haute-résolution","Hochauflösend","Alta risoluzione","Alta resolución",고해상도,
Pixel_Info_FHD,"超清","Super high-res","超高画質","Super haute-résolution","Super hochauflösend","Super risoluzione","Super alta resolución",초고해상도,
Press_Home_Return_Init,"长按Home键返回初始状态","Hold down the Home button to reset to original status","ホームボタンを長押しし、初期状態に戻ります","Appuyez longuement sur le bouton d'accueil pour réinitialiser vers l'état d'origine","Home-Taste gedrückt halten, um auf den Originalzustand zurückzusetzen.","Premi e tieni premuto il pulsante Home per ripristinare lo stato originale.","Pulsa y mantén el botón Inicio para resetear al estado original","홈 버튼을 길게 눌러 원래 상태로 재설정하세요",
Pixel_Info_Change,"清晰度切换","Change resolution","解像度の切り替え","Changer la résolution","Auflösung ändern","Modifica la risoluzione","Cambiar resolución",해상도 변경하기,
Network_Retry,"网络已断开，请联网后重试","No network connection, Please check  your network","ネットワークに接続していません。通信状況をご確認の上、もう一度お試しください","Aucune connexion au réseau, veuillez vérifier votre réseau.","Keine Netzwerkverbindung. Bitte überprüfen Sie Ihr Netzwerk.","Non connesso a internet, controlla la connessione","No hay conexión a Internet, por favor, inténtelo de nuevo","인터넷이 연결되지 않았습니다. 다시 시도하세요.",
Screen_Size,"荧幕大小","Screen size","スクリーンサイズ","Taille de l'écran","Bildschirmgröße","Dimensioni dello schermo","Tamaño de pantalla",화면 크기,
Screen_Origin,"原始","Original","オリジナル","Originale","Original","Originale","Original",기본,
Screen_4:3,"4:3","4:3","4:3","4:3","4:3","4:3","4:3","4:3",
Screen_16:9,"16:9","16:9","16:9","16:9","16:9","16:9","16:9","16:9",
Player_DownloadPhoto_Failed,"图片加载失败","Photo failed to load","画像読み込みできません","Échec du chargement de la photo","Laden des Fotos fehlgeschlagen","Caricamento foto non riuscito","Fallo al cargar la foto",사진 업로드 실패함.,
Button_Refresh,"点击刷新","Click to refresh","再読み込み","Cliquez pour actualiser","Zur Aktualisierung klicken","Tocca per aggiornare","Recargar",새로고침 하려면 클릭하세요,
Screen_Ratio,"屏幕比例","Screen ratio","画面比率","Ratio de l'écran","Seitenverhältnis","Formato dello schermo","Ratio de pantalla",화면 비율,
Video_PlayerError,"当前视频无法播放","Cannot play the video","動画は再生できません","Impossible de lire la vidéo","Das Video kann nicht abgespielt werden.","Impossibile riprodurre il video. Si prega di uscire dall'app","No se puede reproducir el vídeo. Por favor, sal de la app",동영상을 재생할 수 없습니다,
Quit_APP,"退出应用","Exit ","アプリ終了","Exit ","Exit ","Exit ","Exit ",앱 종료,
Video_ReLoad,"重新加载","Reload","再読み込み","Reload","Reload","Reload","Reload",다시 로드,
Video_Play_ERROR,"播放资源出错了","Play error","再生エラー","Play error","Play error","Play error","Play error",재생 오류,
Controller_DisConnected_CV,"手柄已断开","Controller has been disconnected","コントローラーの接続が切りました。","La manette a été déconnectée","Der Controller wurde getrennt.","Il controller è stato scollegato.","El controlador se ha desconectado",컨트롤러가 연결해제되었습니다.,
NetWork_Slow,"网络缓慢，请检查网络连接","Poor network connection,please check your network","ネットワーク接続が切れました","Connexion de mauvaise qualité. Veuillez vérifier votre connexion réseau.","Schlechte Verbindung. Bitte überprüfen Sie Ihre Netzverbindung.","Connessione a internet debole, controlla la connessione","Mala conexión. Comprueba tu conexión de red.","네트워크가 느립니다. 네트워크 상태를 확인하세요.",
Customization,自定义,Customization,カスタム,Customization,Customization,Customization,Customization,맞춤 설정
Ungrouped,"未分组","Ungrouped","未分類","Ungrouped","Ungrouped",Ungrouped","Ungrouped","그룹 없음"
